If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",5 reasons your employees aren't sharing their knowledge,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy,Serious Business: Is The Sharing Economy Good For Business?,The economic essentials of digital strategy,Platforms are the real powerhouses in Silicon Valley's business landscape,The Conversational Economy Part 1: What's Causing the Bot Craze?,Five priorities for competing in an era of digital globalization,The future of agriculture - Jim Womack visits a lean farm,12 incredible women you've never heard of who changed science forever
Honda: mulheres já respondem por 50% das vendas via consórcio,Black Friday salva o ano do e-commerce,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!","Carros de luxo em alta, mas o alerta está aceso","Carros de luxo em alta, mas o alerta está aceso",As expectativas das mulheres da Geração Y são muitas,Se eu fosse fundar uma nova agência... - Meio & Mensagem,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Dafiti registra alto crescimento no 1º semestre de 2016,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
This startup uses machine learning and satellite imagery to predict crop yields,What Happens When You Combine Artificial Intelligence and Satellite Imagery,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Google Cloud Goes to the Farm,Feeding 10 Billion People - Land O'Lakes & CTP,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","SpaceNet satellite imagery repository launched by DigitalGlobe, CosmiQ Works and NVIDIA on AWS",77 Startups Powering The Future Of Farming And Agribusiness,Machine Learning as a Service: How Data Science Is Hitting the Masses,Deep learning will be huge - and here's who will dominate it
#iLookLikeAnEngineer: One Year Later,Introducing Ask a Female Engineer,So long MVP. Hello Minimum Loveable Product.,Being A Developer After 40 - Free Code Camp,Good Software Takes Ten Years. Get Used To it.,One year as a Data Scientist at Stack Overflow,This year's Founders' Letter,Seniority,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",12 Agile principles
"Elopar lança o ""Digio"", cartão para brigar com Nubank","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",Nubank se pronuncia sobre possibilidade de ser fechado e decisão do BC; leia na íntegra,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Bradesco vai lançar novo banco digital: o Next.,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Nubank: o futuro dos cartões de crédito [CT Entrevista] - Canaltech Entrevista,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Confirmed: Walmart buys Jet.com for $3B in cash,Walmart compra startup para brigar com Amazon | EXAME.com,Bixpy Jet is your personal water propulsion system,1. Why ecommerce matters,B2B Ecommerce Growing; Becoming More Like B2C,4. Why ecommerce is essential for Drupal,Six iconic retailers and their digital transformation journeys,"Digital manufacturing could eliminate warehouses, create on-demand production",0. The case for Drupal and Commerce,6. What can Acquia and the community do now regarding Drupal and ecommerce?
Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Democratizing AI,When Is the Singularity? Probably Not in Your Lifetime,The next AI is no AI,AI Revolution 101 - AI Revolution,Clarifying the uses of artificial intelligence in the enterprise,Automation and anxiety,Time to Re-Think Design Thinking,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Machine Learning for Designers,Will blockchain drive the fourth Industrial Revolution?
Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files","Little girls doubt that women can be brilliant, study shows",Equal Pay Day in the spotlight this year,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"In war for talent, 'brogrammers' will be losers",Workplace diversity in Brazil: there's still a long way to go,The End Of Apple Man,Introducing Ask a Female Engineer
Sesi oferece curso de LIBRAS com certificação de 40 horas,Estratégia da Nestlé | Endeavor Brasil,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"SINAIS do FUTURO imediato: #1, internet das coisas",Vídeos motivacionais: os 21 vídeos mais incríveis.,Cinco competências comportamentais para você ser um bom líder,[Books] Biblioteca FIXE: Sugestões de Leitura,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,A estratégia de vendas da Amazon,O que é benchmarking? Veja quando um concorrente se torna inspiração!
Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Seguradoras divulgam resultados de 2016 - Apólice,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Itaú vende carteira de vida para Prudential | Sonho Seguro,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015","Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre","Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Mobile banking conquista o coração dos brasileiros
7 lessons about finding the work you were meant to do,Practical Frameworks for Beating Burnout,Slack swips at Skype with video calls and reaction emoji,So long MVP. Hello Minimum Loveable Product.,10 Simple Habits of Insanely Productive People,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,Good to Great,Seniority,Why Introverts Are Better at Sales Than Extroverts,"Google launches Duo video calling app, a dull cross-OS FaceTime rival",Linux at 25: Q&A With Linus Torvalds
Seguradores serão mentores de start-ups selecionadas pela aceleradora da Accenture | Sonho Seguro,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas","SulAmérica continua investindo, apesar da crise - Sonho Seguro",Accenture amplia atuação no Brasil,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,[Books] Biblioteca FIXE: Sugestões de Leitura,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Olhando para o futuro: 5 pontos de atenção,55 fornecedores de TI que apresentarão novidades no Ciab 2016
Uso de API's no mercado de serviços financeiros,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Web Share API,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Olhando para o futuro: 5 pontos de atenção,Especialistas trazem tendências de UX para 2017 - KingHost,[Books] Biblioteca FIXE: Sugestões de Leitura,Arquitetura de Microserviços habilitando APIs - Sensedia,Uma arquitetura de referência para a Internet das Coisas - Parte 1,"SINAIS do FUTURO imediato: #1, internet das coisas"
BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Amazon takes on PayPal and others with launch of Amazon Payments partner program,Amazon just released a Dash button for AWS IoT,Amazon founder: A.I.'s impact is,Google's official Project Wing logo revealed,Amazon has a huge opportunity in grocery delivery,"Amazon open-sources its own deep learning software, DSSTNE","The inside story of how Amazon created Echo, the next billion dollar business no one saw coming",Behind the Scam: What Does It Take to Be a 'Best-Selling Author'? $3 and 5 Minutes. - The Mission,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Amazon now has a programmable Dash Button for the IoT
SOA com microserviços - Sensedia,Arquitetura de Microserviços habilitando APIs - Sensedia,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Que novas oportunidades poderemos criar com Blockchain? - CIO,Uso de API's no mercado de serviços financeiros,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,[Books] Biblioteca FIXE: Sugestões de Leitura,"SINAIS do FUTURO imediato: #1, internet das coisas",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,O que é benchmarking? Veja quando um concorrente se torna inspiração!,TI Bimodal? Receita para o desastre...
Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Bitcoin Accepted! German Energy Giant Enables Payments - CCN: Financial Bitcoin & Cryptocurrency News,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Load Your Steam Wallet Using Bitcoin,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,Google Expands Android Pay APIs,Novidades do CDI 2.0,Why your wallet is becoming the next platform,Don't take my money: Why mobile payments haven't taken off - yet,The Rise of the API-based SaaS,The Java 8 API Design Principles
"Cloud Shell now GA, and still free",Introducing Google Cloud Shell's new code editor,Google Cloud Platform: The smart person's guide - TechRepublic,Now playing: New ISO security and privacy certifications for Google Cloud Platform,Spotify chooses Google Cloud Platform to power data infrastructure,What's the Best Cloud? Probably GCP,The five phases of migrating to Google Cloud Platform,Advancing enterprise database workloads on Google Cloud Platform,8 must-see sessions for application developers at Google Cloud Next '17,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Cloud Platform for AWS Professionals
